,age,workclass,final_weight,education,education-num,marital-status,occupation,relationship,race,sex,cap-gain,cap-loss,hours-per-week,native-country,sum_N
0,25.0, Private,226802.0, 11th,7.0, Never-married, Machine-op-inspct, Own-child, Black, Male,0.0,0.0,40.0, United-States,<=N
1,38.0, Private,89814.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,50.0, United-States,<=N
2,28.0, Local-gov,336951.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,<=N
3,44.0, Private,160323.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688.0,0.0,40.0, United-States,>N
4,18.0, Private,103497.0, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,30.0, United-States,<=N
5,34.0, Private,198693.0, 10th,6.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,30.0, United-States,<=N
6,29.0, Private,227026.0, HS-grad,9.0, Never-married, Prof-specialty, Unmarried, Black, Male,0.0,0.0,40.0, United-States,<=N
7,63.0, Self-emp-not-inc,104626.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103.0,0.0,32.0, United-States,>N
8,24.0, Private,369667.0, Some-college,10.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States,<=N
9,55.0, Private,104996.0, 7th-8th,4.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,10.0, United-States,<=N
10,65.0, Private,184454.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418.0,0.0,40.0, United-States,>N
11,36.0, Federal-gov,212465.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,>N
12,26.0, Private,82091.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,39.0, United-States,<=N
13,58.0, Private,299831.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,35.0, United-States,<=N
